date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:02:44	10489/10489	---M--	200	added ('OK')	image/png	etag:%2228f9-5c751eeccbb2b%22	https://art-template.ru/vcard4/assets/images/clients/logo-2-color.png	C:/My%20Web%20Sites/maybe%20this%20will%20work/art-template.ru/vcard4/assets/images/clients/logo-2-color.png	(from https://art-template.ru/vcard4/style-2/index.html)
00:02:44	8870/8870	---M--	200	added ('OK')	image/png	etag:%2222a6-5c751eecf62d9%22	https://art-template.ru/vcard4/assets/images/clients/logo-3-color.png	C:/My%20Web%20Sites/maybe%20this%20will%20work/art-template.ru/vcard4/assets/images/clients/logo-3-color.png	(from https://art-template.ru/vcard4/style-2/index.html)
00:02:45	8365/8365	---M--	200	added ('OK')	image/png	etag:%2220ad-5c751eed1df8e%22	https://art-template.ru/vcard4/assets/images/clients/logo-4-color.png	C:/My%20Web%20Sites/maybe%20this%20will%20work/art-template.ru/vcard4/assets/images/clients/logo-4-color.png	(from https://art-template.ru/vcard4/style-2/index.html)
00:02:45	9740/9740	---M--	200	added ('OK')	image/png	etag:%22260c-5c751eed4314c%22	https://art-template.ru/vcard4/assets/images/clients/logo-5-color.png	C:/My%20Web%20Sites/maybe%20this%20will%20work/art-template.ru/vcard4/assets/images/clients/logo-5-color.png	(from https://art-template.ru/vcard4/style-2/index.html)
00:02:45	7620/7620	---M--	200	added ('OK')	image/png	etag:%221dc4-5c751eed6d511%22	https://art-template.ru/vcard4/assets/images/clients/logo-6-color.png	C:/My%20Web%20Sites/maybe%20this%20will%20work/art-template.ru/vcard4/assets/images/clients/logo-6-color.png	(from https://art-template.ru/vcard4/style-2/index.html)
00:02:46	88145/88145	---M-Z	200	added ('OK')	application/javascript	etag:%2215851-5c751ee7e3db8-gzip%22	https://art-template.ru/vcard4/assets/js/jquery-3.4.1.min.js	C:/My%20Web%20Sites/maybe%20this%20will%20work/art-template.ru/vcard4/assets/js/jquery-3.4.1.min.js	(from https://art-template.ru/vcard4/style-2/index.html)
00:02:46	22669/22669	---M-Z	200	added ('OK')	application/javascript	etag:%22588d-5c751ee7e1e78-gzip%22	https://art-template.ru/vcard4/assets/js/common.js	C:/My%20Web%20Sites/maybe%20this%20will%20work/art-template.ru/vcard4/assets/js/common.js	(from https://art-template.ru/vcard4/style-2/index.html)
00:02:46	19778/19778	---M-Z	200	added ('OK')	text/css	etag:%224d42-5c751ef794663-gzip%22	https://art-template.ru/vcard4/assets/styles/vendors/swiper.min.css	C:/My%20Web%20Sites/maybe%20this%20will%20work/art-template.ru/vcard4/assets/styles/vendors/swiper.min.css	(from https://art-template.ru/vcard4/assets/styles/style.css)
00:02:47	2937/2937	---M-Z	200	added ('OK')	text/css	etag:%22b79-5c751ef78bdab-gzip%22	https://art-template.ru/vcard4/assets/styles/vendors/simplebar.min.css	C:/My%20Web%20Sites/maybe%20this%20will%20work/art-template.ru/vcard4/assets/styles/vendors/simplebar.min.css	(from https://art-template.ru/vcard4/assets/styles/style.css)
00:02:47	6951/6951	---M-Z	200	added ('OK')	text/css	etag:%221b27-5c751ef7143a2-gzip%22	https://art-template.ru/vcard4/assets/styles/vendors/magnific-popup.css	C:/My%20Web%20Sites/maybe%20this%20will%20work/art-template.ru/vcard4/assets/styles/vendors/magnific-popup.css	(from https://art-template.ru/vcard4/assets/styles/style.css)
00:02:47	445333/445333	---MCZ	200	added ('OK')	application/javascript	etag:%226cb95-5c751ee888296-gzip%22	https://art-template.ru/vcard4/assets/js/plugins.min.js	C:/My%20Web%20Sites/maybe%20this%20will%20work/art-template.ru/vcard4/assets/js/plugins.min.js	(from https://art-template.ru/vcard4/style-2/index.html)
